"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
9	0.951244277063949	9	9	"Churn"	0
10	0.944889484890191	9	9	"Churn"	0
11	0.943478314379954	9	9	"Churn"	0
12	0.907073056663221	9	9	"Churn"	0
13	0.915856497329864	9	9	"Churn"	0
14	0.943457013574661	9	9	"Churn"	0
15	0.93272780977699	9	9	"Churn"	0
16	0.926071259469697	9	9	"Churn"	0
17	0.928370993944764	9	9	"Churn"	0
18	0.946368040402377	9	9	"Churn"	0
19	0.905689902069475	9	9	"Churn"	0
20	0.920919283661741	9	9	"Churn"	0
21	0.935648281007863	9	9	"Churn"	0
22	0.941160393565516	9	9	"Churn"	0
23	0.943893463073852	9	9	"Churn"	0
24	0.957178435575601	9	9	"Churn"	0
25	0.934137935090753	9	9	"Churn"	0
26	0.946006987331051	9	9	"Churn"	0
27	0.895535889872173	9	9	"Churn"	0
28	0.910825287276192	9	9	"Churn"	0
29	0.917370390887841	9	9	"Churn"	0
30	0.92676813986185	9	9	"Churn"	0
1	0.934132304578801	10	10	"Churn"	0
2	0.876270325203252	10	10	"Churn"	0
3	0.909401524960437	10	10	"Churn"	0
4	0.953214031914206	10	10	"Churn"	0
5	0.936998456790124	10	10	"Churn"	0
6	0.930015952569369	10	10	"Churn"	0
7	0.924941276959214	10	10	"Churn"	0
8	0.931261125564836	10	10	"Churn"	0
9	0.928057370680321	10	10	"Churn"	0
10	0.928489781562849	10	10	"Churn"	0
11	0.895649857954545	10	10	"Churn"	0
12	0.907758930452129	10	10	"Churn"	0
13	0.945575657672508	10	10	"Churn"	0
14	0.92363542443896	10	10	"Churn"	0
15	0.912066171760184	10	10	"Churn"	0
16	0.923520648558758	10	10	"Churn"	0
17	0.916474112109542	10	10	"Churn"	0
18	0.928652108433735	10	10	"Churn"	0
19	0.909418662674651	10	10	"Churn"	0
20	0.9409056412851	10	10	"Churn"	0
21	0.897667795566502	10	10	"Churn"	0
22	0.951268414939789	10	10	"Churn"	0
23	0.916328522624277	10	10	"Churn"	0
24	0.921694235218825	10	10	"Churn"	0
25	0.925123111824268	10	10	"Churn"	0
26	0.925756727458992	10	10	"Churn"	0
27	0.945713547386782	10	10	"Churn"	0
28	0.885359988340459	10	10	"Churn"	0
29	0.928463530427277	10	10	"Churn"	0
30	0.928185032867389	10	10	"Churn"	0
1	0.926204115033902	11	11	"Churn"	0
2	0.924694613219203	11	11	"Churn"	0
3	0.933162173727	11	11	"Churn"	0
4	0.927420691287879	11	11	"Churn"	0
5	0.951062197285762	11	11	"Churn"	0
6	0.92770120809937	11	11	"Churn"	0
7	0.944540126630899	11	11	"Churn"	0
8	0.944311884236453	11	11	"Churn"	0
9	0.927044848111658	11	11	"Churn"	0
10	0.945803740530303	11	11	"Churn"	0
11	0.95035558149785	11	11	"Churn"	0
12	0.885628959276018	11	11	"Churn"	0
13	0.911551896207585	11	11	"Churn"	0
14	0.949548494983278	11	11	"Churn"	0
15	0.926038743661694	11	11	"Churn"	0
16	0.902316742081448	11	11	"Churn"	0
17	0.908210702341137	11	11	"Churn"	0
18	0.906219312602291	11	11	"Churn"	0
