"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
21	0.957113848653039	8	11	"Corte 1"	"Yes"	0.1
22	0.987115751097854	8	11	"Corte 1"	"Yes"	0.1
23	0.975108225108225	8	11	"Corte 1"	"Yes"	0.1
24	0.97449687182174	8	11	"Corte 1"	"Yes"	0.1
25	0.984629715882627	10	11	"Corte 1"	"Yes"	0.1
26	0.970066225165563	7	11	"Corte 1"	"Yes"	0.1
27	0.970928462709285	8	11	"Corte 1"	"Yes"	0.1
28	0.993258426966292	10	11	"Corte 1"	"Yes"	0.1
29	0.97887323943662	8	11	"Corte 1"	"Yes"	0.1
30	0.974940673943996	9	11	"Corte 1"	"Yes"	0.1
1	0.974223121800214	7	12	"Corte 1"	"Yes"	0.1
2	0.971088077449227	7	12	"Corte 1"	"Yes"	0.1
3	0.95615549470175	8	12	"Corte 1"	"Yes"	0.1
4	0.990072556132954	9	12	"Corte 1"	"Yes"	0.1
5	0.985562725582413	10	12	"Corte 1"	"Yes"	0.1
6	0.958896247240618	8	12	"Corte 1"	"Yes"	0.1
7	0.972229580573951	8	12	"Corte 1"	"Yes"	0.1
8	0.9793223192676	8	12	"Corte 1"	"Yes"	0.1
9	0.973367603631193	8	12	"Corte 1"	"Yes"	0.1
10	0.98062865497076	8	12	"Corte 1"	"Yes"	0.1
11	0.980660257675284	9	12	"Corte 1"	"Yes"	0.1
12	0.975770809218142	8	12	"Corte 1"	"Yes"	0.1
13	0.97559096372546	7	12	"Corte 1"	"Yes"	0.1
14	0.991959064327485	8	12	"Corte 1"	"Yes"	0.1
15	0.984001014913591	9	12	"Corte 1"	"Yes"	0.1
16	0.984581020712062	9	12	"Corte 1"	"Yes"	0.1
17	0.986836856800957	9	12	"Corte 1"	"Yes"	0.1
18	0.969094978248296	8	12	"Corte 1"	"Yes"	0.1
19	0.970029239766082	8	12	"Corte 1"	"Yes"	0.1
20	0.983182521728777	9	12	"Corte 1"	"Yes"	0.1
21	0.969086557638612	8	12	"Corte 1"	"Yes"	0.1
22	0.960267857142857	7	12	"Corte 1"	"Yes"	0.1
23	0.981402074192262	8	12	"Corte 1"	"Yes"	0.1
24	0.991728712603222	10	12	"Corte 1"	"Yes"	0.1
25	0.986761850371216	7	12	"Corte 1"	"Yes"	0.1
26	0.974190073742646	10	12	"Corte 1"	"Yes"	0.1
27	0.97083436904466	9	12	"Corte 1"	"Yes"	0.1
28	0.984151785714286	10	12	"Corte 1"	"Yes"	0.1
29	0.980681818181818	9	12	"Corte 1"	"Yes"	0.1
30	0.959301553578542	10	12	"Corte 1"	"Yes"	0.1
1	0.979244345016157	8	13	"Corte 1"	"Yes"	0.1
2	0.996703296703297	7	13	"Corte 1"	"Yes"	0.1
3	0.982578397212544	7	13	"Corte 1"	"Yes"	0.1
4	0.998847926267281	12	13	"Corte 1"	"Yes"	0.1
5	0.97706125768412	9	13	"Corte 1"	"Yes"	0.1
6	0.979707963269607	10	13	"Corte 1"	"Yes"	0.1
7	0.99554565701559	10	13	"Corte 1"	"Yes"	0.1
8	0.975978037062457	8	13	"Corte 1"	"Yes"	0.1
9	0.980979878556971	8	13	"Corte 1"	"Yes"	0.1
10	0.997787610619469	9	13	"Corte 1"	"Yes"	0.1
11	0.966127258887542	9	13	"Corte 1"	"Yes"	0.1
12	0.991935483870968	7	13	"Corte 1"	"Yes"	0.1
13	0.9661489664224	8	13	"Corte 1"	"Yes"	0.1
